firm_name,website_url,organic_traffic,organic_traffic_rank,keywords_top10,keywords_top10_rank,domain_rating,domain_rating_rank,referring_domains,referring_domains_rank,mobile_speed,desktop_speed,google_rating,total_reviews,one_star_last_3_months,keyword1_name,keyword1_traffic,keyword1_rank,keyword2_name,keyword2_traffic,keyword2_rank,keyword3_name,keyword3_traffic,keyword3_rank,keyword4_name,keyword4_traffic,keyword4_rank,keyword5_name,keyword5_traffic,keyword5_rank,review1_text,review1_date,review1_reviewer,review2_text,review2_date,review2_reviewer,review3_text,review3_date,review3_reviewer
The Morgan Law Group,policyadvocate.com,12108,11,1192,14,35,28,611,30,72,77,4.4,391,3,morgan law group,1040,1,the morgan law group,800,1,most dangerous states,580,2,most dangerous states in usa,475,2,most dangerous states in the us,442,2,"My accident was 1 year ago. . I’m currently losing my house and still waiting for Disability. I have to say I’m disappointed in this group. I still have no communication with them whatsoever. Promises of phone calls promises of getting back to me but to this day over a year later I still have nothing. Those commercials about how these lawyers fight for you is a lie. I’m getting absolutely nothing which is not that big of a deal. The lack of communication just leaving me. Waiting three or four months is very un
 professional. My husband and I were hit from behind by a drunk driver, who has since been convicted. My husband died and I broke my back. Unfortunately a classic TV movie. Still, no word, even though they said they were gonna get back to me, no settlement of course, and that’s the most unprofessional part is that I still have no idea what’s going on. It’s been over a year.",2025-06-29T03:20:43.395Z,Connie Daniel,"They will not disburse my funds. The medical bills have been paid off, their fees have been paid. They will not release mine.",2025-06-12T12:48:40.435Z,Miranda Jeffers-Crouse,Please Please Please do not hire this firm. I can’t stress this enough. Save yourself the stress.read all the reviews posted before mine. Same complaints over and over . I wish I would have read the many horrible reviews before giving them my case. They are the most unprofessional firm I’ve ever dealt with. It has been an absolutely nightmare. The employees take forever to respond to emails. It is impossible to get updates on the case. I have to constantly email them to get them to do anything. Then they lie and say they are going to take care of it and weeks/months go by and nothing gets done. My case has been settled for months and they are still sitting on it. I have not received the money even though it was already settle by the insurance company. Go somewhere else where they value you as a client. Im very disappointed for their lack of professionalism.,2025-05-14T01:13:14.445Z,Jesica C
The Sessler Firm,justcallcash.com,0,110,0,110,1.5,107,73,96,54,74,4.3,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,
The Simon Law Group,thesimonlawgroup.com,4066,30,313,39,37,22,458,38,56,87,4.9,131,1,simon law group,704,1,the simon law group,256,1,injury attorney torrance ca,146,1,torrance injury attorneys,96,1,contingency lawyers near me,52,1,"Would not use this service again unfortunately. I was referred by a family friend after an accident where a woman ran a red light and totaled my vehicle and fractured my left foot. I had to go out and take pictures of my accident in a boot and tons of pain and busted my ass trying to find witnesses and securing video footage of the area without help from my attorney. She never followed up about medical appointments I was supposed to have for injury in my neck. The settlements were not inclusive in what injuries I sustained and there was no mention of me even having a fractured foot in the entire claim. As a nurse, my feet affect my livelihood and ability to work. The woman I was assigned for this case dropped the ball on so many things and actually left in the middle of my claim but I just wanted to be done so accepted a settlement and gave up. I’ll pay for my own health costs at this point and ate the loss for my vehicle having to buy something way more expensive that was a comparable vehicle. The other people here were super nice and tried to help but in the end it just felt like it was too late and I was one of the ones who got screwed. I’m just glad to be done with this but make sure if you use them YOU do your own homework and have your own way of collecting evidence and information because they won’t do it for you from my experience.",2025-07-29T14:16:05.666Z,Katrina Tarpley,,,,,,
The Trenti Law Firm,trentilaw.com,64,90,8,91,15,74,160,81,20,36,3.5,20,0,trenti law firm,88,1,trenti law firm virginia mn,72,1,trenti law,72,1,trenti law firm virginia,56,1,trenti,38,3,,,,,,,,,
Tomasik Kotin Kasserman,tkklaw.com,2332,40,287,41,32,33,332,53,61,52,3.2,11,2,tomasik kotin kasserman,72,1,fre 613,57,5,kotin kasserman,56,1,sexual abuse attorney,30,5,pedestrian accident attorney chicago,27,2,,2025-06-19T00:02:07.000Z,Kamil Kassey,After 18 months of collecting my medical records they turn me down with a lame excuse. Blaming on not being able to agree with any physicians consult of surgical procedure of question causing an injury in their mind. Even tho I'm with long term damage! Go else where I wish I knew sooner. Now I'm within months of statue of limitations. Go figure. Lame law group,2025-06-17T00:06:18.835Z,Terry Gerhardt,,,
TopDog Law,topdoglaw.com,82419,1,2182,6,58,4,982,14,31,33,4.8,2125,11,top dog law,5311,1,topdog law,4320,1,top dog law,3035,1,top dawg law,2880,1,personal injury lawyer,2565,3,Terrible he just refers you to someone who will take 40% of your case and give him a kick back what a sham!,2025-07-26T17:56:44.062Z,Liam S.,This company is a fraud they steal your money I’m about 100 percent sure these are paid false reviews how is that you get A call in the 1st of may to sign off on the amount you will receive but the amount u sign off is not the amount they giving you how is that we just A week shy to August I still haven’t been paid but the back passenger has my lawyer tom is horrible and his staff I’ve called him for over 2 weeks now no calls return like terrible if I can give the zero stars I would please don’t EVER call TOPLIE they are complete scams,2025-07-24T15:14:06.264Z,Carolyn Gentry,I really don't have anything to say,2025-07-01T19:50:06.180Z,Shacoby Brant
"Turnbull, Moak & Pendergrass",turnbulllawfirm.com,2646,38,289,40,27,42,414,44,79,91,5,298,0,turnbull holcomb & lemoine pc,136,1,deposition definition law,98,1,tricks lawyers use in depositions,77,1,turnbull moak pendergrass,56,1,catastrophic injuries lawyers,45,2,,,,,,,,,
"VanDerGinst Law, PC",vlaw.com,2230,42,359,35,48,8,835,21,39,37,4.7,383,0,prince death,633,5,vanderginst,136,1,jason london,51,30,is it illegal to drive with headphones,45,5,vanderginst law pc,40,1,,,,,,,,,
Weinstein Law Firm,jeffweinsteinlaw.com,221,79,46,78,11,80,240,67,97,99,4.9,328,0,jeff weinstein attorney,56,1,attorneys in athens texas,52,1,lawyers in athens tx,34,1,turn on red,22,1,weinstein law,22,1,,,,,,,,,
Whiteside & Goldberg,wglawgroup.com,1349,55,81,63,25,53,125,87,61,90,4.6,52,0,whiteside and goldberg,88,1,work related injuries attorneys lockport il,14,1,automobile accidents attorneys shorewood il,12,1,work related injuries attorneys romeoville il,11,1,product liability attorneys crest hill il,9,3,,,,,,,,,
Wyatt Law Firm,wyattlawfirm.com,2714,36,455,29,34,29,817,22,67,90,4.9,275,0,carbon monoxide poisoning car,396,1,wyatt law firm,312,1,personal injury law firm san antonio,171,1,san antonio texas personal injury lawyers,106,1,truck accident attorney san antonio,106,1,,,,,,,,,
Your Chicago Lawyer,yourchicagolawyer.com,3,106,1,103,6,87,46,111,92,71,5,15,0,what is a workers compensation claim,0,77,slipped on,0,28,4444 lawyer,0,69,if we lose it all slip and fall,0,83,chicago railroad accident lawyer,0,68,,,,,,,,,
